Gene1220	DNAJB12
Gene1221	DNAJB2
Gene1222	DNAJB4
Gene1223	DNAJB5
Gene1224	DNAJC10
Gene1225	DNAJC17
Gene1226	DNAJC9
Gene1227	DNASE1L3
Gene1228	DNM1
Gene1229	DNM2
Gene1230	DNMT1
Gene1231	DNMT3A
Gene1232	DNMT3B
Gene1233	DNPEP
Gene1234	DNTT
Gene1235	DOC2A
Gene1236	DOCK9
Gene1237	DOK5
Gene1238	DOK7
Gene1239	DOT1L
Gene1240	DPAGT1
Gene1241	DPF2
Gene1242	DPF3
Gene1243	DPM1
Gene1244	DPP4
Gene1245	DPP8
Gene1246	DPPA2
Gene1247	DPT
Gene1248	DPY19L2
Gene1249	DPYD
Gene1250	DPYSL2
Gene1251	DRAM1
Gene1252	DRC1
Gene1253	DRC3
Gene1254	DRD1
Gene1255	DRD2
Gene1256	DRD3
Gene1257	DRD5
Gene1258	DRG1
Gene1259	DSG1
Gene1260	DSG2
Gene1261	DSG3
Gene1262	DST
Gene1263	DTNA
Gene1264	DTNBP1
Gene1265	DTX1
Gene1266	DUOX2
Gene1267	DUOXA1
Gene1268	DUOXA2
Gene1269	DUSP13
Gene1270	DUSP23
Gene1271	DUSP28
Gene1272	DUSP5
Gene1273	DUSP6
Gene1274	DUX4
Gene1275	DVL1
Gene1276	DVL2
Gene1277	DVL3
Gene1278	DYDC1
Gene1279	DYNC1H1
Gene1280	DYRK1A
Gene1281	DYRK1B
Gene1282	DZIP1L
Gene1283	E2F1
